Step,ElapTime(days),Theta(deg),Theta(mod360)(deg),r(AU),w(deg/day),v(m/s),vr
0,0,180,180,0.46668776,2.75520836189036,38857.6092839057,18.1343706356612
1,3.99863636363636,191.01707634525,191,0.464472306501959,2.78492268118103,39090.2263999951,18.1563276176895
2,7.99727272727273,202.152969448136,202,0.457938672263549,2.87458347322212,39781.1619084817,18.2173324654713
3,11.9959090909091,213.64738345447,213,0.447292935081848,3.02751954573004,40923.6359780695,18.3048532508518
4,15.9945454545455,225.753333201646,225,0.432829200378832,3.25013362354968,42512.1419856869,18.4004964220562
5,19.9931818181818,238.749435695449,238,0.415001437808324,3.55104154342952,44534.9093981019,18.4820514328757
6,23.9918181818182,252.94875953979,252,0.394521442459696,3.93880950550611,46960.2941197207,18.5268429744438
7,27.9904545454545,268.698626457943,268,0.372476012173403,4.41651062403967,49713.3245277115,18.5170208719642
8,31.9890909090909,286.358646439614,286,0.350443607043567,4.97042791020502,52638.940543904,18.4469801951576
9,35.9877272727273,306.233580224193,306,0.330564642888324,5.55125703544359,55455.2867016848,18.3315570448121
10,39.9863636363636,328.43103847001,328,0.315474089920139,6.05471843228744,57723.5279405647,18.2102774440294
11,43.985,352.641655764934,352,0.307944734501416,6.32944399205028,58902.4775514876,18.1387078110685
12,47.9836363636364,377.950800673146,17,0.310086424513584,6.24958049594417,58563.7446371151,18.1598221806496
13,51.9822727272727,402.940600501701,42,0.322236433022776,5.821737399525,56692.0905363364,18.2682570350333
14,55.9809090909091,426.219611366983,66,0.342354057947511,5.19653745546573,53763.1567202389,18.4060348712418
15,59.9795454545455,446.998675001407,86,0.36678827318858,4.55152004693146,50450.6911997208,18.5047219063159
16,63.9781818181818,465.198548570887,105,0.391858339969714,3.99296064307884,47284.5589571306,18.5288487791413
17,67.9768181818182,481.164946196871,121,0.414879401971093,3.55321189373563,44549.0245594847,18.4824726676346
18,71.9754545454546,495.372948482868,135,0.43428293803834,3.22693480744435,42350.4644503156,18.3920841287713
19,75.9740909090909,508.276287346998,148,0.449313641142722,2.9978106134561,40705.1177548699,18.2893646715839
20,79.9727272727273,520.263441877259,160,0.459698583948664,2.85012832362369,39594.3117875873,18.2014490611758
21,83.9713636363636,531.660068633131,171,0.465413945982509,2.77225139216808,38991.2556825867,18.1470741660456
22,87.97,542.745293858996,182,0.466549179975775,2.75705705286105,38872.1357131782,18.1357630408903
